tract_geoid,county_fips,tract_name,land_area_sqmi,centroid_lat,centroid_lon,name,total_population,female_50_54,female_55_59,female_60_61,female_62_64,female_65_66,female_67_69,female_70_74,population_below_poverty,poverty_universe,households_no_vehicle,households_vehicle_universe,state,county,tract,eligible_population,poverty_pct,no_vehicle_pct,population_density_per_sqmi
37097060901,37097,,60.82,36.0168216,-80.9225821,Census Tract 609.01; Iredell County; North Carolina,3588,99,91,85,38,93,34,125,255,3588,90,1480,NC,097,060901,565,7.107023411371237,6.081081081081081,58.99375205524498
37097060902,37097,,51.297,35.9245171,-80.9374165,Census Tract 609.02; Iredell County; North Carolina,3602,159,72,25,165,77,60,179,257,3595,32,1537,NC,097,060902,737,7.148817802503477,2.0819778789850356,70.2185312981266
37097061001,37097,,14.563,35.8695809,-80.8896528,Census Tract 610.01; Iredell County; North Carolina,4926,193,158,171,46,59,27,320,734,4926,72,1955,NC,097,061001,974,14.900527811611855,3.682864450127877,338.2544805328572
37097061002,37097,,23.889,35.8505382,-80.969113,Census Tract 610.02; Iredell County; North Carolina,3923,141,121,160,103,31,133,150,309,3923,13,1601,NC,097,061002,839,7.8766250318633695,0.8119925046845722,164.21784084725186
37097061003,37097,,8.852,35.825128,-80.9090498,Census Tract 610.03; Iredell County; North Carolina,3908,55,94,55,48,120,90,135,710,3900,66,1737,NC,097,061003,597,18.205128205128204,3.7996545768566494,441.48215092634433
37097061101,37097,,19.446,35.8072573,-81.0512847,Census Tract 611.01; Iredell County; North Carolina,2855,149,63,28,117,11,53,66,489,2855,46,1019,NC,097,061101,487,17.12784588441331,4.5142296368989205,146.81682608248482
37097061102,37097,,16.701,35.7884839,-81.0063969,Census Tract 611.02; Iredell County; North Carolina,3563,120,189,17,115,52,88,79,370,3547,120,1499,NC,097,061102,660,10.431350436989005,8.005336891260841,213.34051853182444
37097061103,37097,,14.125,35.7395156,-81.0226277,Census Tract 611.03; Iredell County; North Carolina,2960,83,196,34,26,38,13,108,394,2960,61,1263,NC,097,061103,498,13.31081081081081,4.829770387965162,209.55752212389382
37097061104,37097,,9.185,35.7606096,-80.9740504,Census Tract 611.04; Iredell County; North Carolina,2435,80,52,30,71,11,18,66,221,2435,24,913,NC,097,061104,328,9.075975359342916,2.628696604600219,265.10615133369623
37097061201,37097,,12.701,35.7368476,-80.9137364,Census Tract 612.01; Iredell County; North Carolina,5526,133,196,93,178,72,113,87,137,5526,65,1962,NC,097,061201,872,2.479189287006877,3.3129459734964324,435.0838516652232
37097061202,37097,,12.324,35.6900689,-80.8845471,Census Tract 612.02; Iredell County; North Carolina,6262,182,149,178,154,103,124,125,517,6256,54,2332,NC,097,061202,1015,8.264066496163682,2.3156089193825045,508.11424862057777
37097061203,37097,,6.894,35.6314173,-80.8812394,Census Tract 612.03; Iredell County; North Carolina,7084,303,151,61,57,123,171,189,258,7016,106,2550,NC,097,061203,1055,3.677309007981756,4.1568627450980395,1027.560197272991
37097061204,37097,,5.419,35.6283308,-80.9097772,Census Tract 612.04; Iredell County; North Carolina,4689,221,236,48,82,116,116,186,98,4624,27,1687,NC,097,061204,1005,2.1193771626297577,1.6004742145820985,865.2887986713416
37097061205,37097,,18.831,35.6839974,-80.9503795,Census Tract 612.05; Iredell County; North Carolina,4176,182,238,81,152,66,196,108,150,4140,47,1624,NC,097,061205,1023,3.6231884057971016,2.894088669950739,221.7619882109288
37097061301,37097,,14.663,35.7181406,-80.8107534,Census Tract 613.01; Iredell County; North Carolina,3130,0,246,81,51,47,17,30,614,3101,33,1125,NC,097,061301,472,19.80006449532409,2.933333333333333,213.4624565232217
37097061302,37097,,17.194,35.6709471,-80.8082058,Census Tract 613.02; Iredell County; North Carolina,5785,282,206,61,55,48,25,121,293,5785,22,2290,NC,097,061302,798,5.064822817631806,0.9606986899563319,336.4545771780854
37097061303,37097,,11.854,35.6315754,-80.7888335,Census Tract 613.03; Iredell County; North Carolina,5867,194,287,42,51,0,95,152,342,5867,18,2053,NC,097,061303,821,5.829214249190387,0.8767657087189479,494.9384174118441
37097061304,37097,,7.683,35.6155217,-80.8373856,Census Tract 613.04; Iredell County; North Carolina,5478,321,241,5,171,24,187,126,365,5457,71,2368,NC,097,061304,1075,6.688656771119663,2.998310810810811,713.0027333073018
37097061401,37097,,4.599,35.5627265,-80.9387125,Census Tract 614.01; Iredell County; North Carolina,5485,172,232,147,111,45,99,53,169,5485,83,2015,NC,097,061401,859,3.081130355515041,4.119106699751861,1192.65057621222
37097061402,37097,,4.221,35.5915725,-80.9025212,Census Tract 614.02; Iredell County; North Carolina,6946,357,254,71,153,20,54,58,457,6946,41,3067,NC,097,061402,967,6.579326230924273,1.3368112161721553,1645.5816157308693
37097061403,37097,,2.703,35.5817501,-80.857034,Census Tract 614.03; Iredell County; North Carolina,4153,90,123,43,74,232,46,45,232,4030,23,1747,NC,097,061403,653,5.7568238213399505,1.316542644533486,1536.440991490936
37097061404,37097,,3.732,35.5519222,-80.8682226,Census Tract 614.04; Iredell County; North Carolina,3962,150,207,69,92,56,43,144,175,3916,65,1843,NC,097,061404,761,4.468845760980592,3.5268583830710796,1061.6291532690245
37097061405,37097,,2.688,35.5616585,-80.8871353,Census Tract 614.05; Iredell County; North Carolina,3507,118,138,53,120,39,114,69,64,3507,28,1418,NC,097,061405,651,1.8249215854006273,1.9746121297602257,1304.6875
37097061406,37097,,4.711,35.5285745,-80.929258,Census Tract 614.06; Iredell County; North Carolina,5754,296,313,29,217,56,147,140,135,5754,41,2052,NC,097,061406,1198,2.346193952033368,1.9980506822612085,1221.3967310549776
37097061407,37097,,8.272,35.5228473,-80.8442194,Census Tract 614.07; Iredell County; North Carolina,4823,202,260,135,89,75,163,105,276,4689,18,2117,NC,097,061407,1029,5.886116442738324,0.8502598016060463,583.0512572533848
37097061408,37097,,11.338,35.5325488,-80.760275,Census Tract 614.08; Iredell County; North Carolina,5534,216,92,132,24,18,123,55,193,5488,27,1791,NC,097,061408,660,3.5167638483965016,1.5075376884422111,488.0931381195978
37097061501,37097,,1.95,35.5994608,-80.7926699,Census Tract 615.01; Iredell County; North Carolina,5096,73,48,108,29,79,90,108,392,5086,89,1771,NC,097,061501,535,7.707432166732206,5.02540937323546,2613.3333333333335
37097061502,37097,,6.109,35.5753982,-80.7749141,Census Tract 615.02; Iredell County; North Carolina,5066,225,157,23,75,28,119,110,264,5002,45,1753,NC,097,061502,737,5.277888844462215,2.567027952082145,829.2682926829268
37097061503,37097,,3.118,35.5582787,-80.7960902,Census Tract 615.03; Iredell County; North Carolina,4956,203,142,68,81,35,79,119,554,4846,11,1878,NC,097,061503,727,11.432108955839867,0.5857294994675186,1589.4804361770366
37097061601,37097,,1.716,35.5864372,-80.8192486,Census Tract 616.01; Iredell County; North Carolina,3454,62,101,18,111,20,40,88,355,3432,35,1167,NC,097,061601,440,10.343822843822844,2.9991431019708656,2012.820512820513
37097061603,37097,,2.848,35.5693849,-80.8282596,Census Tract 616.03; Iredell County; North Carolina,5155,158,168,53,88,28,17,89,552,5155,83,2016,NC,097,061603,601,10.708050436469447,4.117063492063492,1810.0421348314608
37097061604,37097,,1.479,35.5463235,-80.8089947,Census Tract 616.04; Iredell County; North Carolina,1742,90,25,70,51,21,31,36,219,1742,26,657,NC,097,061604,324,12.571756601607348,3.95738203957382,1177.8228532792427
37097061605,37097,,1.976,35.5482191,-80.831365,Census Tract 616.05; Iredell County; North Carolina,2821,121,37,52,48,27,0,43,118,2821,52,1114,NC,097,061605,328,4.182913860333215,4.667863554757631,1427.6315789473683
37099940200,37099,,57.155,35.4582474,-83.2552912,Census Tract 9402; Jackson County; North Carolina,5548,128,225,113,102,40,115,149,938,5541,62,2342,NC,099,940200,872,16.92835228298141,2.6473099914602902,97.06937275828886
37099950200,37099,,36.06,35.4100945,-83.1048771,Census Tract 9502; Jackson County; North Carolina,2245,111,31,33,72,27,95,71,187,2217,32,1065,NC,099,950200,440,8.434821831303564,3.004694835680751,62.257348863006094
37099950300,37099,,31.068,35.4185853,-83.2051297,Census Tract 9503; Jackson County; North Carolina,5514,110,378,51,147,54,99,196,1067,5409,54,2382,NC,099,950300,1035,19.726381955999262,2.2670025188916876,177.48165314793357
37099950400,37099,,14.65,35.361038,-83.1924421,Census Tract 9504; Jackson County; North Carolina,4513,153,227,2,39,107,76,153,727,4506,176,2038,NC,099,950400,757,16.13404349755881,8.635917566241414,308.0546075085324
37099950500,37099,,56.086,35.3213823,-83.2852418,Census Tract 9505; Jackson County; North Carolina,5969,188,153,21,254,84,164,185,754,5923,76,2953,NC,099,950500,1049,12.73003545500591,2.5736539112766676,106.42584602218022
37099950600,37099,,46.974,35.2596836,-83.1866496,Census Tract 9506; Jackson County; North Carolina,12118,134,266,0,52,19,121,225,2548,8162,117,3952,NC,099,950600,817,31.217838765008576,2.960526315789474,257.972495423
37099950700,37099,,132.656,35.2762297,-83.0428781,Census Tract 9507; Jackson County; North Carolina,3391,192,19,10,58,64,172,143,348,3385,26,1546,NC,099,950700,658,10.280649926144756,1.6817593790426908,25.56235677240381
37099950800,37099,,48.717,35.1901108,-83.1307025,Census Tract 9508; Jackson County; North Carolina,2124,133,117,15,10,0,141,31,505,2118,21,900,NC,099,950800,447,23.84324834749764,2.3333333333333335,43.59874376501016
37099950900,37099,,67.743,35.0495435,-83.0933261,Census Tract 9509; Jackson County; North Carolina,2349,71,142,71,136,25,53,194,58,2349,9,1252,NC,099,950900,692,2.4691358024691357,0.7188498402555911,34.6751693901953
37101040101,37101,,18.791,35.5908521,-78.1325843,Census Tract 401.01; Johnston County; North Carolina,3061,95,109,42,58,53,18,53,292,3049,114,1214,NC,101,040101,428,9.576910462446703,9.390444810543658,162.89713160555584
37101040102,37101,,22.121,35.6114511,-78.1914084,Census Tract 401.02; Johnston County; North Carolina,2287,111,83,29,15,16,64,138,264,2238,37,908,NC,101,040102,456,11.796246648793566,4.07488986784141,103.38592287871255
37101040103,37101,,20.389,35.5413351,-78.144732,Census Tract 401.03; Johnston County; North Carolina,2755,74,191,9,26,4,28,28,646,2750,0,923,NC,101,040103,360,23.490909090909092,0.0,135.12187944479868
37101040204,37101,,28.175,35.7486278,-78.2701832,Census Tract 402.04; Johnston County; North Carolina,6088,210,298,25,75,10,27,123,1098,6088,22,1903,NC,101,040204,768,18.035479632063076,1.1560693641618498,216.07808340727595
37101040205,37101,,31.472,35.7140168,-78.3150263,Census Tract 402.05; Johnston County; North Carolina,7376,164,243,78,241,80,119,112,114,7376,69,2696,NC,101,040205,1037,1.5455531453362257,2.559347181008902,234.36705643111335
37101040206,37101,,39.252,35.6604033,-78.2402326,Census Tract 402.06; Johnston County; North Carolina,4783,267,158,77,73,58,99,119,374,4725,0,1813,NC,101,040206,851,7.915343915343915,0.0,121.85366350759196
37101040207,37101,,11.128,35.6480007,-78.3653307,Census Tract 402.07; Johnston County; North Carolina,12901,398,396,243,254,129,142,347,1037,12901,95,4899,NC,101,040207,1909,8.0381365785598,1.9391712594407022,1159.3278217109992
37101040208,37101,,6.225,35.6743423,-78.3514627,Census Tract 402.08; Johnston County; North Carolina,6312,311,61,67,44,57,33,106,81,6312,0,2116,NC,101,040208,679,1.2832699619771863,0.0,1013.9759036144579
37101040209,37101,,15.133,35.7137466,-78.3975758,Census Tract 402.09; Johnston County; North Carolina,7696,141,137,70,140,31,0,76,1176,7628,21,2563,NC,101,040209,595,15.416885159937074,0.8193523214982442,508.557457212714
37101040210,37101,,4.869,35.6761417,-78.4118509,Census Tract 402.10; Johnston County; North Carolina,2021,159,52,50,40,19,31,12,47,2021,0,712,NC,101,040210,363,2.3255813953488373,0.0,415.0749640583282
37101040301,37101,,12.077,35.5607778,-78.2486071,Census Tract 403.01; Johnston County; North Carolina,4550,75,86,24,260,86,181,109,921,4545,317,1954,NC,101,040301,821,20.264026402640265,16.223132036847492,376.7491926803014
37101040303,37101,,3.654,35.5465875,-78.290032,Census Tract 403.03; Johnston County; North Carolina,4284,84,84,0,43,17,39,108,929,4284,157,1817,NC,101,040303,375,21.685340802987863,8.640616400660429,1172.4137931034484
37101040304,37101,,14.346,35.5957488,-78.2976147,Census Tract 403.04; Johnston County; North Carolina,3149,168,65,46,48,47,64,73,88,3149,0,1021,NC,101,040304,511,2.7945379485550967,0.0,219.50369440959153
37101040400,37101,,18.092,35.5141325,-78.2322379,Census Tract 404; Johnston County; North Carolina,5186,145,137,71,76,109,190,76,832,5186,22,1730,NC,101,040400,804,16.04319321249518,1.2716763005780347,286.64603139509177
37101040501,37101,,39.163,35.4268123,-78.1990242,Census Tract 405.01; Johnston County; North Carolina,4715,130,207,138,101,50,134,40,466,4674,93,1902,NC,101,040501,800,9.970047068891741,4.889589905362776,120.39424967443762
37101040502,37101,,16.622,35.4928373,-78.1550137,Census Tract 405.02; Johnston County; North Carolina,2565,54,175,0,30,8,37,98,122,2550,27,852,NC,101,040502,402,4.784313725490196,3.1690140845070425,154.3135603417158
37101040600,37101,,37.005,35.4574321,-78.2964396,Census Tract 406; Johnston County; North Carolina,4210,108,108,25,100,37,40,76,919,3778,87,1331,NC,101,040600,494,24.32503970354685,6.536438767843727,113.76840967436831
37101040700,37101,,6.214,35.5255073,-78.3228684,Census Tract 407; Johnston County; North Carolina,3900,145,196,77,84,28,80,147,1062,3727,134,1651,NC,101,040700,757,28.494767909847063,8.116293155663234,627.6150627615062
37101040800,37101,,2.095,35.4994835,-78.3609628,Census Tract 408; Johnston County; North Carolina,4390,105,31,57,139,39,98,129,1107,4146,156,1860,NC,101,040800,598,26.700434153400867,8.387096774193548,2095.465393794749
37101040903,37101,,16.947,35.6018529,-78.3696533,Census Tract 409.03; Johnston County; North Carolina,10436,476,265,69,204,67,142,122,1306,10436,26,3592,NC,101,040903,1345,12.514373323112304,0.7238307349665924,615.8022068802738
37101040904,37101,,11.491,35.563642,-78.350253,Census Tract 409.04; Johnston County; North Carolina,4932,241,105,143,57,41,15,153,195,4082,73,1546,NC,101,040904,755,4.777070063694268,4.721862871927555,429.2054651466365
37101040905,37101,,19.095,35.5407285,-78.4105075,Census Tract 409.05; Johnston County; North Carolina,5795,138,113,48,299,11,92,128,258,5781,177,2037,NC,101,040905,829,4.462895692786715,8.689248895434462,303.48258706467664
37101040906,37101,,5.421,35.5863229,-78.4326873,Census Tract 409.06; Johnston County; North Carolina,2097,152,97,0,75,39,27,45,129,2097,25,799,NC,101,040906,435,6.1516452074391985,3.1289111389236544,386.8289983397897
37101041001,37101,,10.824,35.630875,-78.4191813,Census Tract 410.01; Johnston County; North Carolina,12271,556,102,148,125,86,232,339,859,12197,195,4264,NC,101,041001,1588,7.042715421825039,4.573170731707317,1133.6844050258685
37101041003,37101,,1.789,35.6513027,-78.4901831,Census Tract 410.03; Johnston County; North Carolina,3753,138,187,143,83,32,69,17,164,3753,19,1798,NC,101,041003,669,4.369837463362643,1.0567296996662958,2097.82001117943
37101041004,37101,,2.867,35.6612029,-78.4855833,Census Tract 410.04; Johnston County; North Carolina,2316,81,46,8,49,0,61,113,105,2316,84,1065,NC,101,041004,358,4.533678756476684,7.887323943661972,807.813044994768
37101041005,37101,,7.877,35.6906046,-78.4608483,Census Tract 410.05; Johnston County; North Carolina,4017,63,193,103,117,34,67,101,241,4007,54,1501,NC,101,041005,678,6.014474669328675,3.597601598934044,509.9657229909864
37101041104,37101,,10.139,35.5872805,-78.4675603,Census Tract 411.04; Johnston County; North Carolina,5761,334,169,31,169,68,29,104,823,5744,25,2088,NC,101,041104,904,14.32799442896936,1.1973180076628354,568.2019923069337
37101041105,37101,,7.829,35.6076619,-78.5067522,Census Tract 411.05; Johnston County; North Carolina,3827,81,73,114,105,75,23,66,246,3762,59,1424,NC,101,041105,537,6.539074960127592,4.143258426966292,488.82360454719634
37101041106,37101,,11.545,35.5425719,-78.4936845,Census Tract 411.06; Johnston County; North Carolina,4764,406,219,33,130,0,81,100,221,4746,15,1823,NC,101,041106,969,4.656552886641382,0.8228195282501372,412.64616717193593
37101041107,37101,,5.944,35.5620416,-78.5569918,Census Tract 411.07; Johnston County; North Carolina,5376,243,355,108,17,12,42,119,498,5344,95,1834,NC,101,041107,896,9.318862275449101,5.179934569247546,904.4414535666218
37101041108,37101,,2.392,35.5762498,-78.5224281,Census Tract 411.08; Johnston County; North Carolina,4107,120,96,25,90,11,35,269,31,4107,8,1306,NC,101,041108,646,0.754808862916971,0.6125574272588055,1716.9732441471572
37101041109,37101,,3.438,35.5958655,-78.5419791,Census Tract 411.09; Johnston County; North Carolina,2587,211,61,28,52,15,18,35,278,2575,49,1127,NC,101,041109,420,10.79611650485437,4.3478260869565215,752.4723676556137
37101041110,37101,,3.978,35.6534281,-78.5176057,Census Tract 411.10; Johnston County; North Carolina,3724,198,177,48,27,54,117,91,167,3640,0,1391,NC,101,041110,712,4.587912087912088,0.0,936.1488185017596
37101041111,37101,,5.262,35.6307823,-78.5473406,Census Tract 411.11; Johnston County; North Carolina,4016,180,224,56,67,83,35,76,241,4016,155,1639,NC,101,041111,721,6.000996015936255,9.45698596705308,763.2079057392627
37101041112,37101,,5.506,35.5954751,-78.5831654,Census Tract 411.12; Johnston County; North Carolina,5716,140,178,14,12,83,32,97,690,5716,176,2011,NC,101,041112,556,12.071378586424073,8.751864743908504,1038.1402106792589
37101041113,37101,,3.621,35.5720016,-78.6120271,Census Tract 411.13; Johnston County; North Carolina,3126,146,87,29,10,28,29,20,98,3126,30,897,NC,101,041113,349,3.1349968010236724,3.3444816053511706,863.2974316487158
37101041203,37101,,25.043,35.373841,-78.4155551,Census Tract 412.03; Johnston County; North Carolina,1614,84,48,7,12,17,22,63,143,1614,56,627,NC,101,041203,253,8.85997521685254,8.931419457735247,64.44914746635787
37101041204,37101,,14.389,35.4314602,-78.3934336,Census Tract 412.04; Johnston County; North Carolina,2399,38,54,18,47,0,29,25,288,2381,0,595,NC,101,041204,211,12.095758084838304,0.0,166.72458127736465
37101041205,37101,,7.109,35.4441287,-78.4426285,Census Tract 412.05; Johnston County; North Carolina,2846,67,92,45,20,4,63,119,513,2817,121,1278,NC,101,041205,410,18.210862619808307,9.4679186228482,400.3376002250668
37101041206,37101,,17.157,35.4921818,-78.4144478,Census Tract 412.06; Johnston County; North Carolina,3977,228,55,49,22,0,135,89,1019,3957,6,1294,NC,101,041206,578,25.75183219610816,0.46367851622874806,231.80043131083522
37101041301,37101,,66.357,35.3633055,-78.2986758,Census Tract 413.01; Johnston County; North Carolina,1667,71,92,36,33,32,33,41,243,1667,80,659,NC,101,041301,338,14.577084583083384,12.139605462822459,25.121690251216904
37101041302,37101,,51.115,35.3098465,-78.4447126,Census Tract 413.02; Johnston County; North Carolina,3860,164,70,65,113,20,194,76,726,3830,6,1521,NC,101,041302,702,18.9556135770235,0.39447731755424065,75.51599334833219
37101041401,37101,,15.293,35.3931824,-78.5061516,Census Tract 414.01; Johnston County; North Carolina,3066,89,10,27,10,6,19,26,221,3066,37,1331,NC,101,041401,187,7.20808871493803,2.7798647633358375,200.48388151441836
37101041402,37101,,20.282,35.3763425,-78.5476282,Census Tract 414.02; Johnston County; North Carolina,5933,180,195,24,116,16,101,338,1161,5804,100,2306,NC,101,041402,970,20.003445899379738,4.336513443191674,292.52539197317816
37101041504,37101,,8.844,35.5300834,-78.5356489,Census Tract 415.04; Johnston County; North Carolina,4010,47,220,35,99,39,33,166,254,4010,33,1586,NC,101,041504,639,6.334164588528679,2.080706179066835,453.4147444595206
37101041505,37101,,28.955,35.4692361,-78.4889655,Census Tract 415.05; Johnston County; North Carolina,4663,221,97,45,110,10,67,89,278,4663,13,1823,NC,101,041505,639,5.961827149903495,0.7131102578167855,161.0429977551373
