county_fips,county_name,land_area_sqmi,centroid_lat,centroid_lon,name,total_population,female_50_54,female_55_59,female_60_61,female_62_64,female_65_66,female_67_69,female_70_74,population_below_poverty,poverty_universe,households_no_vehicle,households_vehicle_universe,state,county,eligible_population,poverty_pct,no_vehicle_pct,population_density_per_sqmi,rurality_index,high_risk_index
37163,Sampson County,945.932,34.989298,-78.371261,"Sampson County, North Carolina",59470,1937,1626,839,1271,938,1029,1560,12703,58224,1028,21607,NC,163,9200,21.81746358889805,4.757717406396075,62.869212586105554,0.9748056862144484,0.2664487933025391
37165,Scotland County,319.14,34.840023,-79.477337,"Scotland County, North Carolina",33590,1103,1050,477,596,452,606,951,8068,31257,1357,12580,NC,165,5235,25.81181815273379,10.786963434022258,105.25161371185061,0.9555210030963653,0.7408296836781885
37167,Stanly County,395.08,35.310449,-80.254374,"Stanly County, North Carolina",64651,2112,2026,1028,1382,726,1159,1876,9554,62662,1383,25240,NC,167,10309,15.246880086814976,5.479397781299524,163.64027538726336,0.9289532106119678,0.32323058280734057
37169,Stokes County,449.323,36.393797,-80.269921,"Stokes County, North Carolina",45139,1937,1720,1027,803,853,876,1452,4956,44381,887,19546,NC,169,8668,11.166940808003424,4.538012892663461,100.46002541601476,0.9577012538481657,0.24916244897914092
37171,Surry County,532.644,36.415416,-80.686463,"Surry County, North Carolina",71425,2505,2511,1016,1856,1166,1232,2028,11829,70337,1425,29869,NC,171,12314,16.817606665055376,4.770832635843182,134.0951930370003,0.9423967045077487,0.2674806991484926
37173,Swain County,527.721,35.568849,-83.465614,"Swain County, North Carolina",14013,493,462,295,292,242,308,370,2600,13607,396,6013,NC,173,2462,19.107812155508196,6.585730916347913,26.55380399870386,0.9913297888681402,0.4102768395451785
37175,Transylvania County,378.358,35.210103,-82.816666,"Transylvania County, North Carolina",33691,925,1183,546,1076,530,883,1516,4317,32682,666,14584,NC,175,6659,13.209105929869652,4.566648381788261,89.04529572521263,0.9628951418563648,0.25141548837496625
37177,Tyrrell County,390.777,35.87042,-76.165345,"Tyrrell County, North Carolina",3423,122,56,40,69,6,84,154,562,3004,166,1547,NC,177,531,18.708388814913448,10.73044602456367,8.7594715144443,0.9994265001006782,0.7363828956556326
37179,Union County,632.739,34.99182,-80.530426,"Union County, North Carolina",250958,9752,7913,3098,4404,2336,3350,5280,19042,247857,1986,84237,NC,179,36133,7.682655724873617,2.357633818868193,396.6216718109678,0.8229428788917489,0.07761029110664718
37181,Vance County,252.396,36.365481,-78.405434,"Vance County, North Carolina",42322,1380,1703,615,724,497,1082,1134,8296,41918,1299,16147,NC,181,7135,19.791020563958202,8.04483805041184,167.6809458153061,0.9271146397259479,0.5250793435795391
37183,Wake County,834.607,35.789846,-78.650624,"Wake County, North Carolina",1178653,40586,36560,13495,19648,11761,16183,22938,94044,1156873,20156,460175,NC,183,161171,8.129155058506853,4.380072798391916,1412.2251550729866,0.3608267451167767,0.2367357272624874
37185,Warren County,429.392,36.398105,-78.099899,"Warren County, North Carolina",18795,509,707,313,472,324,674,613,3828,18138,621,8147,NC,185,3612,21.10486271915316,7.62243770713146,43.77119275626933,0.9834955964323367,0.4918448976766541
37187,Washington County,346.51,35.844713,-76.572291,"Washington County, North Carolina",10812,470,385,127,376,105,321,516,2522,10478,668,4744,NC,187,2300,24.069478908188586,14.080944350758854,31.202562696603273,0.9892145279107574,1.0
37189,Watauga County,312.44,36.235368,-81.709888,"Watauga County, North Carolina",55123,1363,1241,842,1057,691,940,1329,12395,48694,926,21198,NC,189,7463,25.4548815049082,4.368336635531654,176.42747407502242,0.9231348268462684,0.23581232633279658
37191,Wayne County,553.922,35.35419,-78.00867,"Wayne County, North Carolina",118652,3683,3510,1602,2448,1399,2347,2899,20075,115809,3246,47507,NC,191,17888,17.334576760010016,6.832677289662576,214.20344380616766,0.9059461450728586,0.4297065725352204
37193,Wilkes County,753.678,36.208883,-81.166095,"Wilkes County, North Carolina",65935,2124,2421,1026,1322,977,1569,1985,10807,64604,1562,27107,NC,193,11424,16.72806637359916,5.762349208691482,87.4843102757411,0.9636054156715667,0.3454931923350041
37195,Wilson County,367.574,35.700357,-77.921598,"Wilson County, North Carolina",79290,2484,2903,1043,1619,1089,1595,2326,15441,78000,2319,33068,NC,195,13059,19.796153846153846,7.012822063626467,215.7116662223117,0.9052598792975753,0.4438803577610916
37197,Yadkin County,334.943,36.158765,-80.665164,"Yadkin County, North Carolina",37574,1362,1441,568,834,508,825,1060,5187,37107,773,15009,NC,197,6598,13.978494623655914,5.150243187420881,112.18028142101791,0.9523683463885646,0.29733270957411595
37199,Yancey County,312.592,35.889326,-82.303954,"Yancey County, North Carolina",18797,668,711,234,474,216,470,869,2833,18674,376,8130,NC,199,3642,15.170825747027953,4.624846248462485,60.132696934022626,0.9760508454266771,0.2559944947191063
