county_fips,county_name,state,centroid_lat,centroid_lon,eligible_population,poverty_pct,rurality_index,high_risk_index,population_weight_before,mean_travel_time_minutes_before,p90_travel_time_minutes_before,pct_over_45_minutes_before,travel_time_coverage_before,population_weight_after,mean_travel_time_minutes_after,p90_travel_time_minutes_after,pct_over_45_minutes_after,travel_time_coverage_after,population_nearest_facility_changed,population_newly_over_30_minutes,population_newly_over_45_minutes,population_newly_over_60_minutes,access_metric,mean_travel_time_delta,p90_travel_time_delta,pct_over_threshold_delta,shock_mean_travel_time_component,shock_p90_travel_time_component,shock_threshold_component,deterioration_component,vulnerability_poverty_component,vulnerability_rurality_component,vulnerability_risk_component,vulnerability_component,shock_score,alert_level
37071,Gaston County,NC,35.292834,-81.177364,37062,13.518876,0.702992,0.295114,37062.0,12.1635796772975,18.981806691449812,0.0,1.0,37062.0,12.1635796772975,18.981806691449812,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4506292,0.702992,0.295114,0.47968348000000005,0.0,NONE
37073,Gates County,NC,36.442135,-76.702355,2008,9.405892,0.989551,0.076049,2008.0,29.93771912350598,34.61538983050848,0.0,1.0,2008.0,29.93771912350598,34.61538983050848,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31352973333333334,0.989551,0.076049,0.4450918933333334,0.0,NONE
37075,Graham County,NC,35.348364,-83.830915,1399,6.696935,0.990832,0.722672,1399.0,33.78943531093638,39.449507936507935,0.0,1.0,1399.0,33.78943531093638,39.449507936507935,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22323116666666667,0.990832,0.722672,0.6033436666666667,0.0,NONE
37077,Granville County,NC,36.299884,-78.657634,10121,15.175138,0.951344,0.172186,10121.0,18.166445015314693,24.264321608040202,0.0,1.0,10121.0,18.166445015314693,24.264321608040202,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5058379333333334,0.951344,0.172186,0.5393941733333334,0.0,NONE
37079,Greene County,NC,35.481959,-77.681688,2916,21.046783,0.968466,0.350851,2916.0,11.447681755829905,16.696175334323925,0.0,1.0,2916.0,11.447681755829905,16.696175334323925,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7015594333333334,0.968466,0.350851,0.6764188733333334,0.0,NONE
37081,Guilford County,NC,36.079065,-79.788665,81575,14.575816,0.617458,0.420338,81575.0,9.853098130554706,18.766274944567638,0.0,1.0,81575.0,9.853098130554706,18.766274944567638,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48586053333333334,0.617458,0.420338,0.5056830133333333,0.0,NONE
37083,Halifax County,NC,36.251438,-77.644842,8626,22.817705,0.973439,0.605068,8626.0,23.295732668676095,40.03222011385199,0.023881289125898448,1.0,8626.0,23.295732668676095,40.03222011385199,0.023881289125898448,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7605901666666667,0.973439,0.605068,0.7777881666666667,0.0,NONE
37085,Harnett County,NC,35.36866,-78.871665,18158,13.74531,0.897017,0.196603,18158.0,19.159995594228437,32.2134024691358,0.0,1.0,18158.0,19.159995594228437,32.2134024691358,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458177,0.897017,0.196603,0.5113568,0.0,NONE
37087,Haywood County,NC,35.558882,-82.981307,12089,13.12504,0.951905,0.204824,12089.0,18.62685416494334,28.458745070422538,0.0,1.0,12089.0,18.62685416494334,28.458745070422538,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43750133333333335,0.951905,0.204824,0.5220192333333333,0.0,NONE
37089,Henderson County,NC,35.336427,-82.479583,22463,11.559691,0.858855,0.170366,22463.0,12.514606241374704,21.511044000000002,0.0,1.0,22463.0,12.514606241374704,21.511044000000002,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38532303333333334,0.858855,0.170366,0.46289551333333334,0.0,NONE
37091,Hertford County,NC,36.363517,-76.981616,3520,22.926722,0.977763,0.515094,3520.0,14.681755681818181,24.026172043010753,0.0,1.0,3520.0,14.681755681818181,24.026172043010753,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7642240666666668,0.977763,0.515094,0.7535467266666668,0.0,NONE
37093,Hoke County,NC,35.017233,-79.241964,6974,17.084424,0.940627,0.266759,6974.0,13.340771436765127,22.682509433962263,0.0,1.0,6974.0,13.340771436765127,22.682509433962263,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5694807999999999,0.940627,0.266759,0.59000812,0.0,NONE
37095,Hyde County,NC,35.408157,-76.153687,824,22.179586,1.0,0.76453,824.0,84.35495145631069,100.1598046511628,1.0,1.0,824.0,84.35495145631069,100.1598046511628,1.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7393195333333333,1.0,0.76453,0.8250868133333333,0.0,NONE
37097,Iredell County,NC,35.806251,-80.874524,31527,10.032898,0.847728,0.179649,31527.0,12.45622767786342,21.060973134328357,0.0,1.0,31527.0,12.45622767786342,21.060973134328357,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3344299333333333,0.847728,0.179649,0.4419850733333333,0.0,NONE
